,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'canada_unemployment_rates'}),frozenset({'canada_total_cases'}),0.4166666666666667,0.9166666666666666,0.4166666666666667,1.0,1.090909090909091,0.034722222222222265,inf
1,frozenset({'canada_unemployment_rates'}),frozenset({'canada_total_tests'}),0.4166666666666667,0.9166666666666666,0.4166666666666667,1.0,1.090909090909091,0.034722222222222265,inf
2,frozenset({'inflation_rate'}),frozenset({'canada_total_cases'}),0.5,0.9166666666666666,0.4166666666666667,0.8333333333333334,0.9090909090909092,-0.04166666666666663,0.5000000000000003
3,frozenset({'inflation_rate'}),frozenset({'total_cases'}),0.5,0.8333333333333334,0.4166666666666667,0.8333333333333334,1.0,0.0,1.0
4,frozenset({'inflation_rate'}),frozenset({'canada_total_tests'}),0.5,0.9166666666666666,0.4166666666666667,0.8333333333333334,0.9090909090909092,-0.04166666666666663,0.5000000000000003
5,frozenset({'inflation_rate'}),frozenset({'total_tests'}),0.5,0.8333333333333334,0.4166666666666667,0.8333333333333334,1.0,0.0,1.0
6,frozenset({'canada_total_cases'}),frozenset({'total_cases'}),0.9166666666666666,0.8333333333333334,0.8333333333333334,0.9090909090909092,1.090909090909091,0.06944444444444453,1.8333333333333346
7,frozenset({'total_cases'}),frozenset({'canada_total_cases'}),0.8333333333333334,0.9166666666666666,0.8333333333333334,1.0,1.090909090909091,0.06944444444444453,inf
8,frozenset({'canada_total_tests'}),frozenset({'canada_total_cases'}),0.9166666666666666,0.9166666666666666,0.9166666666666666,1.0,1.090909090909091,0.07638888888888895,inf
9,frozenset({'canada_total_cases'}),frozenset({'canada_total_tests'}),0.9166666666666666,0.9166666666666666,0.9166666666666666,1.0,1.090909090909091,0.07638888888888895,inf
10,frozenset({'total_tests'}),frozenset({'canada_total_cases'}),0.8333333333333334,0.9166666666666666,0.8333333333333334,1.0,1.090909090909091,0.06944444444444453,inf
11,frozenset({'canada_total_cases'}),frozenset({'total_tests'}),0.9166666666666666,0.8333333333333334,0.8333333333333334,0.9090909090909092,1.090909090909091,0.06944444444444453,1.8333333333333346
12,frozenset({'canada_total_deaths'}),frozenset({'canada_total_cases'}),0.4166666666666667,0.9166666666666666,0.4166666666666667,1.0,1.090909090909091,0.034722222222222265,inf
13,frozenset({'total_deaths'}),frozenset({'canada_total_cases'}),0.5,0.9166666666666666,0.5,1.0,1.090909090909091,0.041666666666666685,inf
14,frozenset({'canada_total_tests'}),frozenset({'total_cases'}),0.9166666666666666,0.8333333333333334,0.8333333333333334,0.9090909090909092,1.090909090909091,0.06944444444444453,1.8333333333333346
15,frozenset({'total_cases'}),frozenset({'canada_total_tests'}),0.8333333333333334,0.9166666666666666,0.8333333333333334,1.0,1.090909090909091,0.06944444444444453,inf
16,frozenset({'total_tests'}),frozenset({'total_cases'}),0.8333333333333334,0.8333333333333334,0.75,0.8999999999999999,1.0799999999999998,0.05555555555555547,1.6666666666666647
17,frozenset({'total_cases'}),frozenset({'total_tests'}),0.8333333333333334,0.8333333333333334,0.75,0.8999999999999999,1.0799999999999998,0.05555555555555547,1.6666666666666647
18,frozenset({'total_deaths'}),frozenset({'total_cases'}),0.5,0.8333333333333334,0.5,1.0,1.2,0.08333333333333331,inf
