,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'total_cases'}),frozenset({'total_deaths'}),0.5,0.4,0.4,0.8,2.0,0.2,3.0000000000000004
1,frozenset({'total_deaths'}),frozenset({'total_cases'}),0.4,0.5,0.4,1.0,2.0,0.2,inf
