DATE,CPMNACSCAB1GQFR
2019-01-01,604862.6
2019-04-01,610733.6
2019-07-01,612233.1
2019-10-01,612218.7
2020-01-01,584972.4
2020-04-01,525686.2
2020-07-01,598831.2
2020-10-01,600227.8
2021-01-01,606231.1
2021-04-01,615740.2
2021-07-01,635833.9
2021-10-01,641042.0
2022-01-01,645483.0
2022-04-01,652265.4
