,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'unemployment_rates'}),frozenset({'inflation_rate'}),0.5333333333333333,0.7555555555555555,0.4,0.75,0.9926470588235294,-0.002962962962962945,0.9777777777777779
1,frozenset({'unemployment_rates'}),frozenset({'canada_unemployment_rates'}),0.5333333333333333,0.7555555555555555,0.4,0.75,0.9926470588235294,-0.002962962962962945,0.9777777777777779
2,frozenset({'inflation_rate'}),frozenset({'canada_unemployment_rates'}),0.7555555555555555,0.7555555555555555,0.6,0.7941176470588235,1.051038062283737,0.02913580246913583,1.187301587301587
3,frozenset({'canada_unemployment_rates'}),frozenset({'inflation_rate'}),0.7555555555555555,0.7555555555555555,0.6,0.7941176470588235,1.051038062283737,0.02913580246913583,1.187301587301587
4,frozenset({'canada_inflation_rate'}),frozenset({'canada_unemployment_rates'}),0.6888888888888889,0.7555555555555555,0.5777777777777777,0.8387096774193548,1.1100569259962048,0.05728395061728386,1.5155555555555549
5,frozenset({'canada_unemployment_rates'}),frozenset({'canada_inflation_rate'}),0.7555555555555555,0.6888888888888889,0.5777777777777777,0.7647058823529411,1.1100569259962048,0.05728395061728386,1.322222222222222
6,frozenset({'canada_inflation_rate'}),frozenset({'inflation_rate'}),0.6888888888888889,0.7555555555555555,0.5555555555555556,0.8064516129032259,1.0673624288425048,0.03506172839506172,1.2629629629629635
7,frozenset({'inflation_rate'}),frozenset({'canada_inflation_rate'}),0.7555555555555555,0.6888888888888889,0.5555555555555556,0.7352941176470589,1.0673624288425048,0.03506172839506172,1.175308641975309
8,"frozenset({'canada_inflation_rate', 'canada_unemployment_rates'})",frozenset({'inflation_rate'}),0.5777777777777777,0.7555555555555555,0.4888888888888889,0.8461538461538463,1.1199095022624437,0.052345679012345714,1.5888888888888901
9,"frozenset({'canada_inflation_rate', 'inflation_rate'})",frozenset({'canada_unemployment_rates'}),0.5555555555555556,0.7555555555555555,0.4888888888888889,0.8799999999999999,1.164705882352941,0.06913580246913575,2.0370370370370354
10,"frozenset({'inflation_rate', 'canada_unemployment_rates'})",frozenset({'canada_inflation_rate'}),0.6,0.6888888888888889,0.4888888888888889,0.8148148148148148,1.182795698924731,0.07555555555555554,1.6799999999999997
