,Date,canada_unemployment_rates,unemployment_rates,canada_inflation_rate,inflation_rate,canada_total_cases,canada_total_tests,canada_people_fully_vaccinated,canada_total_deaths,canada_reproduction_rate,total_cases,total_tests,people_fully_vaccinated,total_deaths,reproduction_rate
0,2019-01,,,,,,,,,,,,,,
1,2019-02,0.0,0.0,0.10000000000000009,0.08000000000000007,,,,,,,,,,
2,2019-03,-0.10000000000000053,0.0,0.3999999999999999,-0.20999999999999996,,,,,,,,,,
3,2019-04,0.0,-0.1999999999999993,0.10000000000000009,0.1499999999999999,,,,,,,,,,
4,2019-05,-0.39999999999999947,0.09999999999999964,0.3999999999999999,-0.32000000000000006,,,,,,,,,,
5,2019-06,0.09999999999999964,-0.09999999999999964,-0.3999999999999999,0.22999999999999998,,,,,,,,,,
6,2019-07,0.2999999999999998,-0.1999999999999993,0.0,-0.09999999999999987,,,,,,,,,,
7,2019-08,0.0,-0.10000000000000142,-0.10000000000000009,-0.030000000000000027,,,,,,,,,,
8,2019-09,-0.20000000000000018,-0.09999999999999964,0.0,-0.13,,,,,,,,,,
9,2019-10,0.10000000000000053,0.09999999999999964,0.0,-0.15000000000000002,,,,,,,,,,
10,2019-11,0.2999999999999998,0.0,0.30000000000000027,0.27,,,,,,,,,,
11,2019-12,-0.20000000000000018,0.0,0.0,0.42999999999999994,,,,,,,,,,
12,2020-01,-0.20000000000000018,0.0,0.19999999999999973,0.030000000000000027,,,,,,,,,,
13,2020-02,0.10000000000000053,-0.39999999999999947,-0.19999999999999973,-0.06000000000000005,7.25,inf,,,,19.0,,,,
14,2020-03,2.2,-0.2999999999999998,-1.3000000000000003,-0.7599999999999999,323.57575757575756,348.64313725490194,,,,521.29,,,1762.0,
15,2020-04,5.1,0.09999999999999964,-1.1,-0.34,4.341611427504435,2.8813131596361554,,25.67763157894737,-0.77,2.23161462023014,,,5.905558706749858,-0.88
16,2020-05,0.40000000000000036,-0.5,-0.2,0.02999999999999997,0.6091690844898101,1.3914143457379482,,0.9304562268803946,-0.16999999999999993,0.13100175372073175,,,0.18300546223664216,0.59
17,2020-06,-1.200000000000001,0.40000000000000036,1.1,-0.15999999999999998,0.1362160165966091,0.7488594461902089,,0.11420541645375581,0.08999999999999997,0.0694884622436418,1.60904320315659,,0.036139559104322094,-0.15999999999999992
18,2020-07,-1.299999999999999,1.0,-0.6,0.5800000000000001,0.11737152034261245,0.5194355494276,,0.029695024077046606,0.07999999999999996,0.11261265673981202,1.1639789295488723,,0.014139248140454308,0.30000000000000004
19,2020-08,-0.5999999999999996,0.40000000000000036,0.0,-0.56,0.10872131820748421,0.397608699013303,,0.01848346509297416,0.24,0.41121544699340973,0.9048666147239297,,0.012488436632747346,-0.010000000000000009
20,2020-09,-1.1000000000000014,0.0,0.4,-0.16999999999999998,0.25437906075898575,0.3740441014024456,,0.021427790532414948,0.06000000000000005,0.8842022841349018,0.755822844395551,,0.043235658813548294,-0.2200000000000002
21,2020-10,0.0,-0.5999999999999996,0.19999999999999996,0.0,0.46311515748031495,0.3414592504565168,,0.0945092582682221,-0.1200000000000001,1.3296252636598136,0.5838618011261656,,0.15098057614713345,0.18000000000000016
22,2020-11,-0.5,-0.20000000000000107,0.30000000000000004,0.15000000000000002,0.6122668639948874,0.2601677688591688,,0.19528652454527684,-0.029999999999999805,0.6078627577928617,0.3272026736266693,,0.4333115930213598,-0.6000000000000001
23,2020-12,0.20000000000000107,-0.1999999999999993,-0.30000000000000004,-0.22,0.5392392585561245,0.25826324030522585,,0.28740898306471396,-0.06000000000000005,0.17603825308101206,0.33883935985715996,,0.22564131733120973,0.3700000000000001
24,2021-01,0.5,0.09999999999999964,0.30000000000000004,0.5700000000000001,0.326409701668279,0.20195178483609455,56881.5,0.27306812404677183,-0.2400000000000001,0.21693058455821013,0.23619593004029005,26813.0,0.17673720685601135,-0.050000000000000044
25,2021-02,-1.0999999999999996,0.1999999999999993,0.10000000000000009,0.010000000000000009,0.11126410120166752,0.1320249849281101,3.712328044653452,0.09793840163729839,0.16000000000000003,0.1727537155736909,0.19457839240384978,29.707484895949875,0.13633674690084008,0.010000000000000009
26,2021-03,-0.8000000000000007,0.0,1.1,0.55,0.13866316024192482,0.13093195770564225,0.32892120470511,0.043873607638099665,0.24,0.23406738105082425,0.2309506753278352,0.7718992385751353,0.1065826006478483,0.07000000000000006
27,2021-04,0.5,0.0,1.1999999999999997,0.1299999999999999,0.2421290006076744,0.1387172575251805,0.5920298358299458,0.054878048780487854,-0.26,0.20752311186503314,0.16415954152739332,1.25539714797819,0.0927832895988625,-0.30000000000000016
28,2021-05,0.0,-0.09999999999999964,0.20000000000000018,0.17999999999999994,0.12723054293678326,0.10517317225558953,0.8915424175176974,0.05483071841453335,-0.29999999999999993,0.009006499814702584,0.12761643805957523,0.7243405386736028,0.04798714220113265,-0.029999999999999916
29,2021-06,-0.40000000000000036,-0.09999999999999964,-0.5,0.06000000000000005,0.023543516611383097,0.05686458971955477,4.495280626751412,0.029278221387192715,0.05999999999999994,0.018978245121406223,0.0942161961354866,0.8659487689594381,0.01429562550208141,0.19999999999999996
30,2021-07,-0.1999999999999993,-0.09999999999999964,0.6000000000000001,-0.33000000000000007,0.010719507969019881,0.04788694593987142,0.900676449774849,0.011522665044113145,0.6500000000000001,0.06053332650370313,0.135459353250599,0.5312619938781191,0.007155071550715597,0.32000000000000006
31,2021-08,-0.3000000000000007,-0.10000000000000053,0.39999999999999947,0.7200000000000002,0.04830354983773155,0.05218157342714158,0.1401324946973872,0.01255686303996395,-0.15000000000000013,0.10117850091986047,0.20138364765330397,0.24776400489682637,0.023037397792770697,-0.4800000000000001
32,2021-09,-0.09999999999999964,-0.09999999999999964,0.3000000000000007,0.29000000000000004,0.08292666064385568,0.06890179160006116,0.058771964124752385,0.034530130323395136,-0.21999999999999997,0.03881429284639415,0.1259159867408599,0.10209798191855657,0.019601163491522744,-0.010000000000000009
33,2021-10,-0.20000000000000018,-0.20000000000000018,0.2999999999999998,0.45999999999999996,0.05594754165986293,0.06750031229172149,0.04672791680163302,0.039730108028568356,-0.06999999999999995,0.02176202479563072,0.08050148378038546,0.0336971902729617,0.00848132822740233,0.33999999999999997
34,2021-11,-0.7000000000000002,-0.09999999999999964,0.0,0.1599999999999997,0.04536131977960256,0.05511026190054946,0.0261453527029194,0.024784259578874757,0.19000000000000006,0.07054686854332748,0.07812791598055235,0.025695969898853477,0.012538545834501313,0.26
35,2021-12,-0.09999999999999964,0.0,0.09999999999999964,-0.029999999999999805,0.2366484168847094,0.07898601407699579,0.013185588874869092,0.0212880625168419,0.41999999999999993,0.29762354566535976,0.1699758468095265,0.049914294667908976,0.038693547439866416,0.15000000000000013
36,2022-01,0.5,-0.10000000000000053,0.2999999999999998,0.10000000000000009,0.382203365059236,0.07453095082625527,0.024697325506940704,0.1170844327176781,-0.79,0.9161867398760692,0.1978984526701819,0.04065786467798138,0.05820443439279521,-0.67
37,2022-02,-1.0,0.0,0.6000000000000005,0.7799999999999998,0.07442151914301354,0.029183033370005385,0.02481191367024782,0.0804251550044286,0.14,0.18540597119282642,0.054450096446871266,0.017821980071022647,0.056674630374548673,-0.15000000000000002
38,2022-03,-0.20000000000000018,0.10000000000000053,1.0,0.8500000000000005,0.05677991763565893,0.021049345278518983,0.008934655656116286,0.02740886484123073,0.21000000000000008,0.12799748069985295,0.04722979857490528,0.0034493109937427935,0.028215204137651995,0.3999999999999999
39,2022-04,-0.09999999999999964,0.09999999999999964,0.09999999999999964,0.34999999999999964,0.07887137490651619,0.024818755201110543,0.00393517323592274,0.04436524190759905,-0.30000000000000004,0.11809140626120063,0.03980442197815992,0.0015228121086687807,0.0256916440685111,-0.42999999999999994
40,2022-05,-0.10000000000000053,0.09999999999999964,0.9000000000000004,0.3700000000000001,0.031604466631466765,0.017527875929850723,0.002721825678985823,0.04467082643575693,0.04999999999999993,0.030459103854102443,0.019710079724674312,0.0012633015305827389,0.01641792067068959,0.21000000000000008
41,2022-06,-0.1999999999999993,0.0,0.39999999999999947,0.6399999999999997,0.020126359367276248,0.0027282893188771418,0.0017165054582248818,0.022745556937029177,0.2899999999999999,0.053120318025001056,0.0,0.001191975050373273,0.008126903690126364,0.47999999999999987
42,2022-07,0.0,-0.09999999999999964,-0.5,0.2400000000000002,0.03290686751798311,0.0,0.0014373233233777594,0.023812929061785004,-0.15999999999999992,0.08681628612249392,0.0,0.0011343114301600732,0.016376786406598898,-0.7
43,2022-08,0.5,,-0.5999999999999996,-0.16999999999999993,0.02496382603069547,0.0,0.001463327422217331,0.028264766827314824,-0.010000000000000009,0.02195242914073714,0.0,0.0005187339895853516,0.013876831610238671,0.25
44,2022-09,-0.20000000000000018,,-0.09999999999999964,-0.3600000000000003,0.020125428735709994,0.0,0.0012600930134174515,0.028438809011660737,0.10000000000000009,0.024921497783551905,0.0,0.0004027877382508649,0.006609929814091586,0.33000000000000007
45,2022-10,,,,,0.020921334157141036,0.0,0.0018359588804486293,0.02758635873274473,,0.04011626626227538,0.0,0.0003449891949234285,0.012127773374317696,
