,support,itemsets
0,0.7555555555555555,frozenset({0})
1,0.4666666666666667,frozenset({1})
2,0.6888888888888889,frozenset({2})
3,0.7555555555555555,frozenset({3})
4,0.4,frozenset({4})
5,0.4222222222222222,frozenset({5})
6,0.35555555555555557,frozenset({6})
7,0.37777777777777777,frozenset({7})
8,0.4444444444444444,frozenset({11})
9,0.4444444444444444,frozenset({12})
10,0.4666666666666667,frozenset({13})
11,0.35555555555555557,"frozenset({0, 1})"
12,0.5777777777777777,"frozenset({0, 2})"
13,0.5777777777777777,"frozenset({0, 3})"
14,0.3333333333333333,"frozenset({0, 4})"
15,0.35555555555555557,"frozenset({0, 5})"
16,0.3111111111111111,"frozenset({0, 6})"
17,0.3111111111111111,"frozenset({0, 7})"
18,0.37777777777777777,"frozenset({0, 11})"
19,0.3111111111111111,"frozenset({0, 12})"
20,0.35555555555555557,"frozenset({0, 13})"
21,0.3333333333333333,"frozenset({1, 2})"
22,0.3111111111111111,"frozenset({1, 3})"
23,0.2222222222222222,"frozenset({1, 5})"
24,0.2,"frozenset({1, 7})"
25,0.24444444444444444,"frozenset({1, 11})"
26,0.28888888888888886,"frozenset({1, 12})"
27,0.26666666666666666,"frozenset({1, 13})"
28,0.4888888888888889,"frozenset({2, 3})"
29,0.3333333333333333,"frozenset({2, 4})"
30,0.4,"frozenset({2, 5})"
31,0.3111111111111111,"frozenset({2, 6})"
32,0.3333333333333333,"frozenset({2, 7})"
33,0.37777777777777777,"frozenset({2, 11})"
34,0.3333333333333333,"frozenset({2, 12})"
35,0.35555555555555557,"frozenset({2, 13})"
36,0.26666666666666666,"frozenset({3, 4})"
37,0.26666666666666666,"frozenset({3, 5})"
38,0.24444444444444444,"frozenset({3, 6})"
39,0.24444444444444444,"frozenset({3, 7})"
40,0.3111111111111111,"frozenset({11, 3})"
41,0.3111111111111111,"frozenset({3, 12})"
42,0.3333333333333333,"frozenset({3, 13})"
43,0.3333333333333333,"frozenset({4, 5})"
44,0.35555555555555557,"frozenset({4, 6})"
45,0.28888888888888886,"frozenset({4, 7})"
46,0.3111111111111111,"frozenset({11, 4})"
47,0.24444444444444444,"frozenset({4, 12})"
48,0.2,"frozenset({4, 13})"
49,0.3111111111111111,"frozenset({5, 6})"
50,0.3333333333333333,"frozenset({5, 7})"
51,0.35555555555555557,"frozenset({11, 5})"
52,0.26666666666666666,"frozenset({12, 5})"
53,0.24444444444444444,"frozenset({13, 5})"
54,0.28888888888888886,"frozenset({6, 7})"
55,0.3111111111111111,"frozenset({11, 6})"
56,0.2,"frozenset({12, 6})"
57,0.35555555555555557,"frozenset({11, 7})"
58,0.24444444444444444,"frozenset({12, 7})"
59,0.2,"frozenset({13, 7})"
60,0.26666666666666666,"frozenset({11, 12})"
61,0.26666666666666666,"frozenset({11, 13})"
62,0.3333333333333333,"frozenset({12, 13})"
63,0.24444444444444444,"frozenset({0, 1, 2})"
64,0.24444444444444444,"frozenset({0, 1, 3})"
65,0.2,"frozenset({0, 1, 12})"
66,0.2,"frozenset({0, 1, 13})"
67,0.4222222222222222,"frozenset({0, 2, 3})"
68,0.28888888888888886,"frozenset({0, 2, 4})"
69,0.3333333333333333,"frozenset({0, 2, 5})"
70,0.26666666666666666,"frozenset({0, 2, 6})"
71,0.26666666666666666,"frozenset({0, 2, 7})"
72,0.3111111111111111,"frozenset({0, 2, 11})"
73,0.24444444444444444,"frozenset({0, 2, 12})"
74,0.28888888888888886,"frozenset({0, 2, 13})"
75,0.24444444444444444,"frozenset({0, 3, 4})"
76,0.24444444444444444,"frozenset({0, 3, 5})"
77,0.24444444444444444,"frozenset({0, 3, 6})"
78,0.2222222222222222,"frozenset({0, 3, 7})"
79,0.28888888888888886,"frozenset({0, 11, 3})"
80,0.2222222222222222,"frozenset({0, 3, 12})"
81,0.24444444444444444,"frozenset({0, 3, 13})"
82,0.28888888888888886,"frozenset({0, 4, 5})"
83,0.3111111111111111,"frozenset({0, 4, 6})"
84,0.24444444444444444,"frozenset({0, 4, 7})"
85,0.26666666666666666,"frozenset({0, 11, 4})"
86,0.26666666666666666,"frozenset({0, 5, 6})"
87,0.26666666666666666,"frozenset({0, 5, 7})"
88,0.28888888888888886,"frozenset({0, 11, 5})"
89,0.2,"frozenset({0, 12, 5})"
90,0.2,"frozenset({0, 13, 5})"
91,0.24444444444444444,"frozenset({0, 6, 7})"
92,0.26666666666666666,"frozenset({0, 11, 6})"
93,0.28888888888888886,"frozenset({0, 11, 7})"
94,0.2,"frozenset({0, 11, 12})"
95,0.2222222222222222,"frozenset({0, 11, 13})"
96,0.2222222222222222,"frozenset({0, 12, 13})"
97,0.2,"frozenset({1, 2, 3})"
98,0.2222222222222222,"frozenset({1, 2, 5})"
99,0.2,"frozenset({1, 2, 11})"
100,0.24444444444444444,"frozenset({1, 2, 12})"
101,0.2222222222222222,"frozenset({1, 2, 13})"
102,0.2,"frozenset({1, 12, 5})"
103,0.2,"frozenset({1, 11, 12})"
104,0.2,"frozenset({1, 12, 13})"
105,0.2,"frozenset({2, 3, 4})"
106,0.24444444444444444,"frozenset({2, 3, 5})"
107,0.2,"frozenset({2, 3, 6})"
108,0.2,"frozenset({2, 3, 7})"
109,0.24444444444444444,"frozenset({11, 2, 3})"
110,0.2,"frozenset({2, 3, 12})"
111,0.2222222222222222,"frozenset({2, 3, 13})"
112,0.3111111111111111,"frozenset({2, 4, 5})"
113,0.3111111111111111,"frozenset({2, 4, 6})"
114,0.24444444444444444,"frozenset({2, 4, 7})"
115,0.26666666666666666,"frozenset({2, 11, 4})"
116,0.28888888888888886,"frozenset({2, 5, 6})"
117,0.3111111111111111,"frozenset({2, 5, 7})"
118,0.3333333333333333,"frozenset({2, 11, 5})"
119,0.24444444444444444,"frozenset({2, 12, 5})"
120,0.2222222222222222,"frozenset({2, 13, 5})"
121,0.24444444444444444,"frozenset({2, 6, 7})"
122,0.26666666666666666,"frozenset({2, 11, 6})"
123,0.3111111111111111,"frozenset({2, 11, 7})"
124,0.2,"frozenset({2, 12, 7})"
125,0.2,"frozenset({2, 11, 12})"
126,0.2222222222222222,"frozenset({2, 11, 13})"
127,0.24444444444444444,"frozenset({2, 12, 13})"
128,0.2,"frozenset({3, 4, 5})"
129,0.24444444444444444,"frozenset({3, 4, 6})"
130,0.2,"frozenset({11, 3, 4})"
131,0.2,"frozenset({3, 5, 6})"
132,0.2,"frozenset({3, 5, 7})"
133,0.2222222222222222,"frozenset({11, 3, 5})"
134,0.2,"frozenset({11, 3, 6})"
135,0.2222222222222222,"frozenset({11, 3, 7})"
136,0.2222222222222222,"frozenset({3, 12, 13})"
137,0.3111111111111111,"frozenset({4, 5, 6})"
138,0.24444444444444444,"frozenset({4, 5, 7})"
139,0.26666666666666666,"frozenset({11, 4, 5})"
140,0.2,"frozenset({12, 4, 5})"
141,0.28888888888888886,"frozenset({4, 6, 7})"
142,0.3111111111111111,"frozenset({11, 4, 6})"
143,0.2,"frozenset({4, 12, 6})"
144,0.26666666666666666,"frozenset({11, 4, 7})"
145,0.24444444444444444,"frozenset({5, 6, 7})"
146,0.26666666666666666,"frozenset({11, 5, 6})"
147,0.3111111111111111,"frozenset({11, 5, 7})"
148,0.2222222222222222,"frozenset({12, 5, 7})"
149,0.2,"frozenset({13, 5, 7})"
150,0.2222222222222222,"frozenset({11, 12, 5})"
151,0.2222222222222222,"frozenset({13, 11, 5})"
152,0.26666666666666666,"frozenset({11, 6, 7})"
153,0.2222222222222222,"frozenset({11, 12, 7})"
154,0.2,"frozenset({11, 13, 7})"
155,0.2,"frozenset({0, 2, 3, 4})"
156,0.2222222222222222,"frozenset({0, 2, 3, 5})"
157,0.2,"frozenset({0, 2, 3, 6})"
158,0.2222222222222222,"frozenset({0, 11, 2, 3})"
159,0.26666666666666666,"frozenset({0, 2, 4, 5})"
160,0.26666666666666666,"frozenset({0, 2, 4, 6})"
161,0.2,"frozenset({0, 2, 4, 7})"
162,0.2222222222222222,"frozenset({0, 2, 11, 4})"
163,0.24444444444444444,"frozenset({0, 2, 5, 6})"
164,0.24444444444444444,"frozenset({0, 2, 5, 7})"
165,0.26666666666666666,"frozenset({0, 2, 11, 5})"
166,0.2,"frozenset({0, 2, 6, 7})"
167,0.2222222222222222,"frozenset({0, 2, 11, 6})"
168,0.24444444444444444,"frozenset({0, 2, 11, 7})"
169,0.2,"frozenset({0, 3, 4, 5})"
170,0.24444444444444444,"frozenset({0, 3, 4, 6})"
171,0.2,"frozenset({0, 11, 3, 4})"
172,0.2,"frozenset({0, 3, 5, 6})"
173,0.2,"frozenset({0, 11, 3, 5})"
174,0.2,"frozenset({0, 11, 3, 6})"
175,0.2,"frozenset({0, 11, 3, 7})"
176,0.26666666666666666,"frozenset({0, 4, 5, 6})"
177,0.2,"frozenset({0, 4, 5, 7})"
178,0.2222222222222222,"frozenset({0, 11, 4, 5})"
179,0.24444444444444444,"frozenset({0, 4, 6, 7})"
180,0.26666666666666666,"frozenset({0, 11, 4, 6})"
181,0.2222222222222222,"frozenset({0, 11, 4, 7})"
182,0.2,"frozenset({0, 5, 6, 7})"
183,0.2222222222222222,"frozenset({0, 11, 5, 6})"
184,0.24444444444444444,"frozenset({0, 11, 5, 7})"
185,0.2222222222222222,"frozenset({0, 11, 6, 7})"
186,0.2,"frozenset({1, 2, 12, 5})"
187,0.2,"frozenset({2, 3, 4, 6})"
188,0.2,"frozenset({11, 2, 3, 5})"
189,0.28888888888888886,"frozenset({2, 4, 5, 6})"
190,0.2222222222222222,"frozenset({2, 4, 5, 7})"
191,0.24444444444444444,"frozenset({2, 11, 4, 5})"
192,0.24444444444444444,"frozenset({2, 4, 6, 7})"
193,0.26666666666666666,"frozenset({2, 11, 4, 6})"
194,0.2222222222222222,"frozenset({2, 11, 4, 7})"
195,0.2222222222222222,"frozenset({2, 5, 6, 7})"
196,0.24444444444444444,"frozenset({2, 11, 5, 6})"
197,0.28888888888888886,"frozenset({2, 11, 5, 7})"
198,0.2,"frozenset({2, 12, 5, 7})"
199,0.2,"frozenset({2, 11, 12, 5})"
200,0.2,"frozenset({13, 2, 11, 5})"
201,0.2222222222222222,"frozenset({2, 11, 6, 7})"
202,0.2,"frozenset({3, 4, 5, 6})"
203,0.2,"frozenset({11, 3, 4, 6})"
204,0.24444444444444444,"frozenset({4, 5, 6, 7})"
205,0.26666666666666666,"frozenset({11, 4, 5, 6})"
206,0.2222222222222222,"frozenset({11, 4, 5, 7})"
207,0.26666666666666666,"frozenset({11, 4, 6, 7})"
208,0.2222222222222222,"frozenset({11, 5, 6, 7})"
209,0.2,"frozenset({11, 12, 5, 7})"
210,0.2,"frozenset({13, 11, 5, 7})"
211,0.2,"frozenset({0, 2, 3, 4, 6})"
212,0.24444444444444444,"frozenset({0, 2, 4, 5, 6})"
213,0.2,"frozenset({0, 2, 4, 5, 11})"
214,0.2,"frozenset({0, 2, 4, 6, 7})"
215,0.2222222222222222,"frozenset({0, 2, 4, 6, 11})"
216,0.2,"frozenset({0, 2, 5, 6, 11})"
217,0.2222222222222222,"frozenset({0, 2, 5, 7, 11})"
218,0.2,"frozenset({0, 3, 4, 5, 6})"
219,0.2,"frozenset({0, 3, 4, 6, 11})"
220,0.2,"frozenset({0, 4, 5, 6, 7})"
221,0.2222222222222222,"frozenset({0, 4, 5, 6, 11})"
222,0.2222222222222222,"frozenset({0, 4, 6, 7, 11})"
223,0.2222222222222222,"frozenset({2, 4, 5, 6, 7})"
224,0.24444444444444444,"frozenset({2, 4, 5, 6, 11})"
225,0.2,"frozenset({2, 4, 5, 7, 11})"
226,0.2222222222222222,"frozenset({2, 4, 6, 7, 11})"
227,0.2,"frozenset({2, 5, 6, 7, 11})"
228,0.2222222222222222,"frozenset({4, 5, 6, 7, 11})"
229,0.2,"frozenset({0, 2, 4, 5, 6, 11})"
230,0.2,"frozenset({2, 4, 5, 6, 7, 11})"
