DATE,NAEXKP01INQ652S
2019-01-01,35629383986900.91
2019-04-01,36024476204163.3
2019-07-01,36260456073172.305
2019-10-01,36431450432545.2
2020-01-01,36443193870119.195
2020-04-01,27739187103044.0
2020-07-01,34074351763687.9
2020-10-01,36797364609254.8
2021-01-01,36973827534013.3
2021-04-01,33265660743779.1
2021-07-01,36976358204483.5
2021-10-01,38819263656587.695
2022-01-01,38293872305149.6
2022-04-01,37745512974664.4
